time_s,temperature_C
0.0,26.226
0.01,20.835
0.02,22.082
0.03,23.019
0.04,20.028
0.05,22.005
0.06,21.998
0.07,17.613
0.08,24.544
0.09,23.501
0.1,20.436
0.11,21.571
0.12,23.263
0.13,21.347
0.14,21.393
0.15,18.367
0.16,23.386
0.17,22.31
0.18,22.686
0.19,18.184
0.2,26.127
0.21,22.386
0.22,21.032
0.23,27.073
0.24,21.887
0.25,18.373
0.26,20.987
0.27,16.279
0.28,24.623
0.29,20.959
0.3,20.144
0.31,24.681
0.32,17.872
0.33,23.339
0.34,16.839
0.35,20.345
0.36,18.989
0.37,25.655
0.38,26.415
0.39,21.176
0.4,24.102
0.41,21.55
0.42,23.42
0.43,20.118
0.44,17.729
0.45,17.492
0.46,22.958
0.47,27.619
0.48,22.674
0.49,20.688
0.5,26.78
0.51,22.593
0.52,22.254
0.53,22.631
0.54,21.669
0.55,21.226
0.56,18.413
0.57,23.254
0.58,21.763
0.59,24.983
0.6,21.078
0.61,17.234
0.62,21.751
0.63,26.249
0.64,21.041
0.65,19.775
0.66,19.016
0.67,19.375
0.68,21.25
0.69,19.05
0.7,25.744
0.71,21.293
0.72,22.272
0.73,25.596
0.74,25.758
0.75,21.468
0.76,22.83
0.77,23.838
0.78,21.518
0.79,17.555
0.8,23.637
0.81,24.236
0.82,23.039
0.83,19.691
0.84,21.51
0.85,20.523
0.86,21.251
0.87,25.242
0.88,25.824
0.89,23.674
0.9,23.372
0.91,23.692
0.92,21.969
0.93,21.811
0.94,20.316
0.95,21.86
0.96,27.65
0.97,24.173
0.98,21.145
0.99,20.82
1.0,19.839
1.01,22.936
1.02,22.979
1.03,18.392
1.04,23.216
1.05,20.576
1.06,25.567
1.07,22.392
1.08,26.294
1.09,20.855
1.1,21.28
1.11,22.75
1.12,24.64
1.13,23.415
1.14,18.916
1.15,22.457
1.16,22.056
1.17,20.927
1.18,20.38
1.19,26.369
1.2,21.024
1.21,19.885
1.22,23.593
1.23,22.327
1.24,21.81
1.25,23.953
1.26,23.222
1.27,22.905
1.28,24.411
1.29,22.709
1.3,20.458
1.31,21.094
1.32,20.698
1.33,22.524
1.34,19.305
1.35,17.419
1.36,22.22
1.37,18.659
1.38,17.12
1.39,22.933
1.4,20.222
1.41,23.24
1.42,20.673
1.43,19.195
1.44,18.891
1.45,20.713
1.46,21.317
1.47,19.941
1.48,21.297
1.49,18.16
1.5,22.036
1.51,17.516
1.52,21.515
1.53,23.743
1.54,24.73
1.55,26.286
1.56,18.109
1.57,23.897
1.58,25.016
1.59,24.451
1.6,19.677
1.61,
1.62,26.65
1.63,18.257
1.64,23.191
1.65,24.781
1.66,20.259
1.67,23.457
1.68,19.323
1.69,19.969
1.7,19.957
1.71,22.481
1.72,21.773
1.73,24.385
1.74,19.649
1.75,21.672
1.76,24.403
1.77,23.402
1.78,18.688
1.79,23.663
1.8,20.804
1.81,22.963
1.82,22.752
1.83,25.048
1.84,22.291
1.85,17.365
1.86,18.575
1.87,23.828
1.88,21.354
1.89,24.845
1.9,22.684
1.91,20.127
1.92,24.706
1.93,19.982
1.94,16.868
1.95,27.159
1.96,17.223
1.97,23.591
1.98,24.347
1.99,22.368
2.0,17.792
2.01,24.538
2.02,18.396
2.03,18.641
2.04,21.096
2.05,23.971
2.06,22.75
2.07,24.027
2.08,20.891
2.09,21.57
2.1,19.157
